Sample_ID,Site,Location,mean_GWC,K_mg_per_kg,SO4-S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3-N_mg_per_g_of_soil_mean,NH4-N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,P_Extract,Sand_pct,Silt_pct,Clay_pct,WEOC_mean,WETN_mean,salt_C_mean,salt_N_mean,MBC_mean,MBN_mean,Sample,Site_Code,Lat,Long,Elev.m,Soil.Temperature.C,BiomeType,NOSC,CUE,lambda,AImod,DBE,Calculated m/z,CUE_CV,lambda_CV,Respiration,Lignin-like_frac,Cond Hydrocarbon-like_frac,Tannin-like_frac,Protein-like_frac,Unsat Hydrocarbon-like_frac,Carbohydrate-like_frac,Amino Sugar-like_frac,Lipid-like_frac,Other_frac,Shannon_Index,labile_to_recal_Ratio,alpha_diversity,abs_stoichMet_donor,stoichMet_hco3,qs_max,mu_max,CN_WEOM
1000S_ANZA,ANZA,TOP,1.002,107.0,4.0,0.25,0.2,1.9,0.1,13.0,3.27,0.26,0.1,3.9,5.62,101.84,0.059,0.209,3.542,0.0039,0.0012,0.002,8.75,Olsen,83.1,9.9,7.1,0.029364385069014,0.00523936395924314,0.126612211293344,0.00925324304671935,0.0810163517774392,0.0072670165314323,ANZA_TOP,ANZA,33.305325,-116.254011,191.0,42.7,Desert shrubland,-0.31250501486843785,0.5312323468330384,0.04657548285423532,0.19699987361097746,8.193066673715444,459.99391106149494,0.10828684287652994,0.43115313261832444,0.0114,0.4493013972055888,0.22005988023952097,0.112375249500998,0.08483033932135728,0.03792415169660679,0.0375249500998004,0.025449101796407185,0.025049900199600798,0.0074850299401197605,1.6172339558984337,0.27920337035618537,10020,0.10258757296592556,0.9015556285166382,0.9186949807627118,0.4762866802679755,5.60457057334415
1000S_BLAN,BLAN,TOP,1.157,189.0,10.0,0.42,0.7,28.3,0.7,54.0,5.47,0.81,0.05,6.81,11.9,63.54,0.196,1.676,8.551,0.001,0.0022,0.0024,6.5,Bray,25.0,45.8,29.3,0.127422792651219,0.0136288460306627,0.0540458680276268,0.00977925894528102,0.0715234037579819,0.0214710119817797,BLAN_TOP,BLAN,39.05941,-78.07207,174.0,19.7,Temperate forests,-0.3268478166185351,0.5235983212380354,0.04452597035803436,0.20191329005046638,9.127083559822243,498.6137411603951,0.10298831129988409,0.4685106819681197,0.052399999999999995,0.39919701749354747,0.26142816174361916,0.10037281330656725,0.08798394034987095,0.0540292515055922,0.04026383710926298,0.031889876684829364,0.020648121594493835,0.004186980212216806,1.6618401396518507,0.31406391317455534,17435,0.09569072550644064,0.9280126207316124,0.8396153179503918,0.43064835940293283,9.349492419573773
1000S_CFS1,CFS1,TOP,1.112,231.0,,,,,,,2.41,0.68,0.08,3.76,5.55,92.27,0.14,1.212,8.657,0.0083,0.0214,0.1453,6.66,Bray,68.1,19.94,11.96,0.0618758392508097,0.0298901940626492,0.0569951525553389,0.0483616723911211,0.0827639867014732,0.034699371544631,CFS1_TOP,CFS1,35.3828,-78.03818,24.0,18.5,Temperate coniferous forests,-0.2826656560104522,0.5199848360019494,0.05673619775535245,0.23614920654501276,7.566895539795392,400.5044105210636,0.1170299425185478,0.5040137985740385,0.08106999999999999,0.5376680212566427,0.19412316348859018,0.10847139731165989,0.08346358236949046,0.006251953735542357,0.003751172241325414,0.010940919037199124,0.05470459518599562,0.0006251953735542357,1.365717297497997,0.19010416666666666,3199,0.1216621691582443,0.9472612310694719,1.0723514944008057,0.5432684993278897,2.070104968911185
1000S_CFS2,CFS2,TOP,1.106,134.0,4.0,0.11,3.6,5.1,2.2,48.0,1.76,0.5,0.05,2.65,4.06,37.81,0.114,1.019,8.939,0.0036,0.0008,0.1497,6.66,Bray,84.01,6.0,10.0,0.0290408761331531,0.00867197799455113,0.025929639602984,0.0103213258295925,0.0740993359737135,0.0176837727224666,CFS2_TOP,CFS2,35.38329,-81.434174,24.0,23.0,Temperate forests,-0.07610183634053226,0.4991661964040236,0.057048403143677415,0.2857630111947579,9.37820471687493,492.7463795958445,0.18905607413906095,0.7678431965735318,0.02484,0.4113785557986871,0.3676148796498906,0.19146608315098468,0.006564551422319475,0.0010940919037199124,0.002188183807439825,0.0010940919037199124,0.0175054704595186,0.0010940919037199124,1.1893724928642413,0.030439684329199548,914,0.13000141994673045,1.0826531765330882,1.200257565052116,0.5224042883072886,3.3488180149212066
1000S_CLBJ,CLBJ,TOP,1.278,156.0,6.0,0.4,1.6,5.9,0.2,12.0,9.02,1.04,0.07,10.53,2.04,198.71,0.172,1.549,9.006,0.0008,0.0042,0.0034,7.28,Olsen,49.0,37.9,13.2,0.0975514182354067,0.0213978847842031,0.0882426566194119,0.0143268230487527,0.201579624868987,0.0285124929433425,CLBJ_TOP,CLBJ,33.401641,-97.570431,274.0,18.4,Temperate grasslands,-0.2446983828865209,0.5186970778321995,0.04754221853643371,0.2144411444937845,8.74348546657135,466.06198898259987,0.11653182303329922,0.42058136414796743,0.0246,0.38614612511671337,0.33169934640522875,0.08922735760971055,0.06460084033613446,0.050186741363211954,0.03413865546218487,0.020716619981325863,0.016398225957049487,0.0068860877684407094,1.573529760863405,0.23904555314533624,17136,0.10389607008508255,0.9513358863226876,0.9244209630949336,0.46543780478402597,4.558928100567381
1000S_CPER,CPER,TOP,1.032,232.0,6.0,0.32,0.7,13.9,0.7,31.0,5.97,1.35,0.06,7.97,9.61,73.59,0.163,1.182,7.252,0.0083,0.0046,0.0558,6.18,Bray,69.1,17.8,13.2,0.0681382807513523,0.0128877259647427,0.0442330133369906,0.0148469915923881,0.0752796260645499,0.0114462419927302,CPER_TOP,CPER,40.81909,-104.748961,1641.0,32.9,Temperate grasslands,-0.2507950998919625,0.5158063989090658,0.048615810294551295,0.20487467910066592,8.527989397392297,468.8583953703707,0.11507903828378624,0.3763241255137964,0.0219,0.3799886870718371,0.3668531204826849,0.11828294890327447,0.039532398969266545,0.0273395763936899,0.038526805354785996,0.014895355414493118,0.008170448117654452,0.006410659292313494,1.4739462394812735,0.15590265165274247,15911,0.10509480606183802,0.9612311620553502,0.9251831608740226,0.4676622107606079,5.287067783545369
1000S_DCFS,DCFS,TOP,1.337,820.0,22.0,1.09,16.5,31.9,1.6,199.0,20.64,7.81,0.07,30.62,39.78,266.55,0.962,10.643,11.063,0.0021,0.0051,0.0025,6.37,Bray,45.0,35.8,19.3,0.276989393684703,0.0492849868031616,0.12721652959244,0.0152967049734728,0.321770515639606,0.0677134519135075,DCFS_TOP,DCFS,47.163063,-99.109193,569.0,22.9,Temperate grasslands,-0.1718452313948836,0.5073024690936605,0.051740221410239304,0.22551865113023453,8.854060622096815,461.72161162664634,0.127035390800992,0.4985668380774485,0.1986,0.3682156360531772,0.3534577387486279,0.11190389071838029,0.05982436882546652,0.035248201000121965,0.034211489206000735,0.02274667642395414,0.009269423100378095,0.005122575923893158,1.5388939779545,0.19964884044187578,16398,0.11158236931499406,0.9990975699789088,0.9891016538674084,0.48350674595546983,5.6201576108961095
1000S_DELA,DELA,TOP,1.241,86.0,42.0,0.53,3.5,105.6,2.5,241.0,4.36,1.48,0.11,6.17,24.43,178.55,0.289,2.378,8.228,0.0006,0.0026,1.69,5.08,,23.0,39.8,37.2,0.00955103782536255,0.0243307525980101,0.0976125684192339,0.0120308783540477,0.0565285413151149,0.0124723862386287,DELA_TOP,DELA,32.542,-87.804,32.0,27.3,Temperate forests,-0.40472670419277845,0.5270154858231968,0.04630508865444884,0.19756956225394176,7.3609709724784205,473.911807605937,0.11985781658616457,0.40319530603843773,0.0959,0.5333333333333333,0.13548387096774195,0.11612903225806452,0.07983870967741935,0.0478494623655914,0.025806451612903226,0.026344086021505377,0.02903225806451613,0.006182795698924731,1.5277478611713986,0.273972602739726,3720,0.09944031250978175,0.9216705849817575,0.8639233121774255,0.4415176552969735,0.39255003670308514
1000S_DSNY,DSNY,TOP,1.072,57.0,2.0,0.12,0.1,0.7,0.2,22.0,1.02,0.13,0.09,1.39,8.95,104.46,0.093,1.33,14.301,0.0007,0.0015,0.0015,5.08,Bray,88.9,6.0,5.2,0.0513425094149534,0.00860496877986263,0.0228082488710712,0.0031451432498401,0.142503850261241,0.0221257666327592,DSNY_TOP,DSNY ,28.125842,-81.434174,24.0,40.6,Temperate coniferous forests,-0.4012451299344246,0.5264852198713847,0.04447026019020941,0.2037033766901533,8.16830952019985,485.0792909792292,0.11147266423130783,0.3915027115125339,0.0169,0.4460017383746197,0.25945241199478486,0.07062146892655367,0.08257279443720121,0.05693176879617558,0.02368535419382877,0.02585832246849196,0.03009561060408518,0.0047805302042590175,1.5805918191622352,0.28853422931541367,9204,0.0955591595882385,0.9204955638402298,0.8284533173199221,0.42688620512844816,5.966611934154284
1000S_FTA5,FTA5,TOP,1.195,1218.0,5.0,0.77,1.6,13.3,0.7,33.0,6.53,1.86,0.09,11.6,13.8,108.37,0.192,1.477,7.693,0.0015,0.0201,0.0345,7.34,Olsen,64.06,21.96,13.98,0.0638045635846896,0.0397020860917617,0.120103991893729,0.0456566505921378,0.16828988403449,0.0245496235333939,FTA5_TOP,FTA5,46.9045,-120.6241,831.0,12.8,Desert shrubland,-0.1471450039768197,0.5098516744068639,0.05314865615970596,0.23734984051378807,8.42542609819433,452.84906548807953,0.1396562830897155,0.5089168489322184,0.024079999999999997,0.34914037407897225,0.4924428490459097,0.11250708482901946,0.011619119591913848,0.016720196485924807,0.00906858114490837,0.0034007179293406384,0.00330625354241451,0.0017948233515964482,1.174408014038651,0.04811881188118812,10586,0.11621668654192284,0.9941412875052406,1.0437743748509507,0.5105639052051986,1.607083402046454
1000S_GRSM,GRSM,TOP,1.349,205.0,10.0,0.31,11.0,31.4,3.4,84.0,6.7,0.71,0.06,8.0,17.34,289.86,0.37,4.765,12.878,0.0024,0.0059,0.0305,6.21,Bray,55.0,31.8,13.3,0.146638759734801,0.0358785776745568,0.0577803206291712,0.0185698910063628,0.304529617540871,0.0666558016516965,GRSM_TOP,GRSM ,35.689102,-85.502462,547.0,28.6,Temperate forests,-0.3490624315255977,0.5236161912009245,0.04539084344786606,0.20659938692609056,8.081924258682042,467.58292435827065,0.10299967013318977,0.3699400463731795,0.13319999999999999,0.44408791914006096,0.1862666452751484,0.08535215786940478,0.11663725332905503,0.09273223167014279,0.015562329536338841,0.02711374939836355,0.029359858815979464,0.0028878549655061768,1.6377772050393953,0.39722035418067697,6233,0.09751323907108314,0.928277744582779,0.8500506189464551,0.4360666286543926,4.087083971525145
